acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
138771_2018,u1qfj8,9.741588918000048,52.38389105500005,2018,12,5,3,1,5,3,1
138807_2018,u1qfj8,9.743749637000064,52.38494084600006,2018,12,15,3,1,0,1,1
138998_2018,u1qfj8,9.742554503000063,52.38628518600007,2018,12,1,5,0,5,3,1
10468_2018,u1qcvh,9.715124641000044,52.361408105000066,2018,2,7,4,2,2,6,1
11268_2018,u1qcvh,9.721160538000047,52.361603609000035,2018,2,14,6,0,6,2,1
12206_2018,u1qcvh,9.713421613000037,52.36192392900006,2018,3,16,1,0,2,6,1
12315_2018,u1qcvh,9.712876378000033,52.36237015900008,2018,3,14,5,0,2,6,1
12457_2018,u1qcvh,9.71374310300007,52.36136701700008,2018,4,11,2,1,8,1,1
12524_2018,u1qcvh,9.715124549000052,52.361479830000064,2018,4,17,6,0,2,6,1
12988_2018,u1qcvh,9.714187933000062,52.36113699600002,2018,4,12,6,0,2,6,1
15431_2018,u1qcvh,9.714572775000024,52.36099705700008,2018,5,19,7,0,5,2,1
16087_2018,u1qcvh,9.714324806000038,52.36215028600003,2018,6,20,7,0,3,2,1
17060_2018,u1qcvh,9.722394754000053,52.362395274000036,2018,6,20,6,0,3,6,1
17097_2018,u1qcvh,9.714504159000057,52.361023002000074,2018,7,14,1,0,5,2,1
19576_2018,u1qcvh,9.714704053000046,52.36093482900004,2018,8,10,5,0,5,3,1
20836_2018,u1qcvh,9.714376315000036,52.36218533400006,2018,9,16,5,1,3,1,1
20864_2018,u1qcvh,9.714282212000057,52.36215654400007,2018,9,17,3,0,5,2,1
21190_2018,u1qcvh,9.714550007000073,52.36108057800004,2018,9,17,3,0,5,2,1
21841_2018,u1qcvh,9.714575344000023,52.361079080000074,2018,9,14,7,0,5,2,1
21990_2018,u1qcvh,9.712839664000057,52.362752520000065,2018,9,17,6,0,3,6,1
23067_2018,u1qcvh,9.722297683000024,52.36268120100005,2018,10,18,5,0,4,6,1
24169_2018,u1qcvh,9.713665650000053,52.36146047600006,2018,11,16,2,0,5,2,1
24243_2018,u1qcvh,9.721216186000047,52.36169716300003,2018,11,13,6,0,6,4,1
25920_2018,u1qcvh,9.714307656000074,52.36221322800003,2018,12,18,7,1,8,1,1
26058_2018,u1qcvh,9.713643748000038,52.361933720000074,2018,12,18,7,1,2,6,1
26401_2018,u1qcvh,9.713597292000033,52.36159671700005,2018,12,14,5,0,5,2,1
129808_2018,u1qcvh,9.721111110000036,52.36165990100005,2018,2,22,5,0,4,2,1
129973_2018,u1qcvh,9.717847710000058,52.364517317000036,2018,2,7,3,1,6,4,1
130168_2018,u1qcvh,9.715902397000038,52.36221746000007,2018,2,16,6,0,6,4,1
130510_2018,u1qcvh,9.71800780500007,52.36194137300004,2018,2,9,3,1,2,2,1
131099_2018,u1qcvh,9.717912284000024,52.364577965000066,2018,4,7,5,1,6,4,1
131241_2018,u1qcvh,9.714446910000046,52.36605486000008,2018,4,12,3,0,2,6,1
131532_2018,u1qcvh,9.714334178000056,52.36092261300007,2018,4,16,5,0,5,3,1
