acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
11319_2018,u1r1bm,9.862111336000057,52.370808828000065,2018,3,14,5,2,2,2,1
13160_2018,u1r1bm,9.862114523000061,52.37081739800004,2018,4,8,5,1,5,3,1
17578_2018,u1r1bm,9.862090808000064,52.36644878600004,2018,7,15,2,0,2,6,1
20486_2018,u1r1bm,9.862352199000043,52.371456545000065,2018,9,6,2,0,8,1,1
130967_2018,u1r1bm,9.864802292000038,52.36695176000007,2018,4,3,5,0,5,3,1
132361_2018,u1r1bm,9.859497388000023,52.368071736000054,2018,5,12,2,0,5,2,1
133725_2018,u1r1bm,9.86094941400006,52.36845218000008,2018,6,13,7,0,5,2,1
136451_2018,u1r1bm,9.857048938000046,52.36686331900006,2018,9,6,2,1,8,1,1
136455_2018,u1r1bm,9.856052786000019,52.366822055000064,2018,9,17,5,0,3,6,1
138422_2018,u1r1bm,9.857287375000057,52.36724333900003,2018,11,15,1,1,0,1,1
79236_2019,u1r1bm,9.861861068000053,52.36942458900006,2019,6,17,4,0,2,6,1
79566_2019,u1r1bm,9.862125898000043,52.370847989000026,2019,6,12,2,0,6,2,1
85312_2019,u1r1bm,9.862107711000023,52.370799079000044,2019,10,7,2,0,5,3,1
94619_2019,u1r1bm,9.862291202000053,52.371292518000075,2019,5,16,2,0,6,4,1
228878_2019,u1r1bm,9.859532945000067,52.368081689000064,2019,12,19,7,0,9,7,1
229391_2019,u1r1bm,9.86167695100005,52.36858142400007,2019,1,9,2,0,2,6,1
9544_2017,u1qfj2,9.732223720000038,52.38305197300008,2017,1,18,4,1,5,2,1
10994_2017,u1qfj2,9.733287157000065,52.38431261300008,2017,2,8,1,0,9,1,1
11738_2017,u1qfj2,9.733541453000042,52.38437234100007,2017,3,16,2,0,2,6,1
12044_2017,u1qfj2,9.733707717000073,52.385326949000046,2017,3,16,6,0,2,6,1
12761_2017,u1qfj2,9.732400693000043,52.38351239900003,2017,3,12,5,0,2,6,1
13450_2017,u1qfj2,9.73112153300002,52.38360156800008,2017,4,4,7,1,5,3,1
14375_2017,u1qfj2,9.732381336000062,52.38348542500007,2017,5,8,6,0,2,6,1
14402_2017,u1qfj2,9.732255201000044,52.38308346400004,2017,4,9,5,0,2,6,1
14686_2017,u1qfj2,9.733670549000069,52.38461388400003,2017,5,16,4,0,5,2,1
15990_2017,u1qfj2,9.727230528000064,52.38793533600006,2017,6,12,6,0,5,3,1
16120_2017,u1qfj2,9.733629521000069,52.38480648800004,2017,6,22,5,0,5,3,1
16256_2017,u1qfj2,9.729892108000056,52.38399008700003,2017,6,18,4,0,4,2,1
16520_2017,u1qfj2,9.733829621000039,52.38461116700007,2017,6,21,1,0,5,3,1
16770_2017,u1qfj2,9.732545713000038,52.38341608600007,2017,6,6,1,0,5,3,1
16861_2017,u1qfj2,9.733565087000043,52.38439276100007,2017,7,12,7,1,2,6,1
19713_2017,u1qfj2,9.732393836000028,52.383235472000074,2017,8,21,7,0,4,2,1
22182_2017,u1qfj2,9.729784601000064,52.38407840900003,2017,10,9,5,1,2,2,1
22721_2017,u1qfj2,9.733828483000023,52.385979185000046,2017,10,19,6,0,2,6,1
23214_2017,u1qfj2,9.73236447100004,52.383201949000075,2017,10,19,7,1,2,6,1
23331_2017,u1qfj2,9.733771797000033,52.384566095000075,2017,10,14,2,1,2,6,1
23387_2017,u1qfj2,9.727153889000023,52.38798873500008,2017,11,12,7,0,5,3,1
25110_2017,u1qfj2,9.731113147000032,52.38360296300005,2017,11,8,4,0,5,2,1
25455_2017,u1qfj2,9.733760737000068,52.38455747400008,2017,12,13,2,1,2,6,1
127449_2017,u1qfj2,9.725382726000019,52.38328127100005,2017,2,15,7,0,6,6,1
127905_2017,u1qfj2,9.726051066000023,52.38494146200003,2017,3,14,5,1,5,7,1
