acc_id,geohash7,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
182525_2017,u281wz9,11.548319690000026,48.11836137500007,2017,9,8,5,0,5,2,1
181153_2018,u281wz9,11.548321842000066,48.11753372900007,2018,7,14,2,0,5,2,1
203443_2019,u281wz9,11.548258328000033,48.11835060900006,2019,1,14,3,0,5,2,1
208462_2019,u281wz9,11.549205637000055,48.11764072300008,2019,5,8,3,0,4,3,1
172008_2017,u281z3f,11.57239461000006,48.130711797000075,2017,4,10,1,0,0,1,1
172837_2017,u281z3f,11.572548802000027,48.13053923900002,2017,5,14,6,1,0,3,1
174114_2017,u281z3f,11.572428112000065,48.130686470000065,2017,5,14,2,0,2,6,1
175327_2017,u281z3f,11.572629490000056,48.13053449600005,2017,6,20,1,0,3,5,1
178621_2017,u281z3f,11.572454080000055,48.13066683800008,2017,7,13,4,0,1,5,1
180116_2017,u281z3f,11.571569542000075,48.12995645500007,2017,8,17,5,1,0,5,1
182919_2017,u281z3f,11.571904473000073,48.13108233100007,2017,9,10,7,0,0,1,1
172009_2017,u281z8t,11.587277619000075,48.12348408400003,2017,4,19,1,0,4,7,1
185308_2018,u281z8t,11.587113155000054,48.12325131800003,2018,8,15,2,0,5,3,1
172027_2017,u281y3r,11.535264566000025,48.12744323900007,2017,4,7,6,0,5,3,1
176219_2018,u281y3r,11.535089643000047,48.12721392100008,2018,4,19,3,0,5,3,1
176643_2018,u281y3r,11.534585916000026,48.128071774000034,2018,5,8,4,0,3,6,1
189646_2018,u281y3r,11.534619139000027,48.12738523300004,2018,11,7,3,0,6,4,1
172028_2017,u281zkz,11.579446261000044,48.14683004400007,2017,4,15,6,0,5,3,1
173555_2017,u281zkz,11.57935178200006,48.14643721800008,2017,5,21,5,0,3,6,1
173565_2017,u281zkz,11.579446261000044,48.14683004400007,2017,5,9,5,0,5,2,1
174000_2017,u281zkz,11.579538337000036,48.146840162000046,2017,5,17,6,1,0,6,1
180309_2017,u281zkz,11.579506658000074,48.14677280300003,2017,8,14,2,0,3,6,1
183716_2017,u281zkz,11.579355564000025,48.146445415000066,2017,10,13,6,0,2,6,1
184970_2017,u281zkz,11.579446261000044,48.14683004400007,2017,10,18,5,0,2,6,1
187682_2017,u281zkz,11.579446261000044,48.14683004400007,2017,12,18,4,0,5,2,1
189279_2018,u281zkz,11.579446261000044,48.14683004400007,2018,10,18,4,1,5,2,1
220714_2019,u281zkz,11.57945094400003,48.14682879500002,2019,11,8,6,0,3,2,1
172030_2017,u281zcd,11.593895330000064,48.12869386200003,2017,4,18,6,0,0,7,1
173008_2017,u281zcd,11.593888708000064,48.12857887600006,2017,5,20,3,0,5,2,1
174123_2017,u281zcd,11.593891452000037,48.128583214000074,2017,5,13,2,0,2,2,1
175353_2017,u281zcd,11.593912070000044,48.12861584700005,2017,6,18,7,0,0,7,1
176520_2017,u281zcd,11.593870803000073,48.128550580000066,2017,6,17,7,0,3,6,1
177346_2017,u281zcd,11.594018801000061,48.128523250000065,2017,7,16,2,0,0,6,1
178901_2017,u281zcd,11.593901728000047,48.12859945400003,2017,7,20,7,0,4,7,1
178987_2017,u281zcd,11.594682349000035,48.12946078400006,2017,7,7,6,0,5,3,1
184439_2017,u281zcd,11.593952269000056,48.12867890300004,2017,10,19,4,0,4,2,1
176241_2018,u281zcd,11.593840524000028,48.12850273000004,2018,4,8,3,0,6,6,1
179556_2018,u281zcd,11.593942507000065,48.12866378300004,2018,6,16,2,0,2,6,1
181892_2018,u281zcd,11.59436075900004,48.129161302000064,2018,7,22,2,0,1,5,1
182507_2018,u281zcd,11.593996619000055,48.128609863000065,2018,7,0,6,0,5,2,1
184078_2018,u281zcd,11.594351062000046,48.12915242700007,2018,8,9,4,0,1,5,1
188401_2018,u281zcd,11.593845339000039,48.12851033800007,2018,10,20,5,0,0,1,1
189396_2018,u281zcd,11.593864065000048,48.128738787000025,2018,10,16,7,1,6,4,1
189537_2018,u281zcd,11.593782757000046,48.128411437000075,2018,10,9,2,0,6,7,1
208702_2019,u281zcd,11.593896959000062,48.12867525300004,2019,5,12,1,0,0,1,1
219617_2019,u281zcd,11.594127284000026,48.12845263600008,2019,10,15,7,0,5,7,1
172031_2017,u281y8q,11.543913476000053,48.12209338500002,2017,4,16,6,0,5,2,1
174270_2017,u281y8q,11.544879081000033,48.12243247500004,2017,5,21,3,0,5,3,1
175354_2017,u281y8q,11.543911061000076,48.12212075600007,2017,6,12,7,0,5,2,1
175563_2017,u281y8q,11.543910976000063,48.122121710000044,2017,6,17,6,0,5,2,1
176771_2017,u281y8q,11.543912770000071,48.12210139600006,2017,6,11,3,0,5,4,1
178161_2018,u281y8q,11.545051637000027,48.12251206300005,2018,5,10,5,1,4,2,1
181396_2018,u281y8q,11.544298992000053,48.12228192500004,2018,7,7,4,0,3,2,1
182698_2018,u281y8q,11.543911810000054,48.12211226800008,2018,7,18,4,0,5,3,1
188091_2018,u281y8q,11.545032441000044,48.12266321600004,2018,10,16,3,0,5,2,1
209936_2019,u281y8q,11.543913721000026,48.122090617000026,2019,6,9,5,0,2,6,1
211303_2019,u281y8q,11.544287902000065,48.12227964500005,2019,6,11,3,0,3,6,1
211331_2019,u281y8q,11.543912644000043,48.12210282700005,2019,6,18,3,0,5,2,1
219485_2019,u281y8q,11.54506126900003,48.122434404000046,2019,10,18,1,0,0,7,1
172074_2017,u2839w4,11.671204493000062,48.10953074000002,2017,4,9,5,0,5,3,1
188109_2018,u2839w4,11.671266039000043,48.10952769200003,2018,10,17,3,0,5,3,1
219482_2019,u2839w4,11.670851677000027,48.109743915000074,2019,10,14,1,0,0,7,1
172112_2017,u281wr6,11.528598138000063,48.11673171900002,2017,4,8,4,1,5,3,1
172825_2018,u281wr6,11.528669570000035,48.11665417900008,2018,2,11,6,1,1,7,1
186849_2018,u281wr6,11.527700457000035,48.116664825000036,2018,9,14,3,0,0,6,1
213108_2019,u281wr6,11.528463522000036,48.11672236900007,2019,7,20,4,0,2,2,1
172113_2017,u281znu,11.564376008000071,48.15811046100004,2017,4,19,4,0,0,6,1
183280_2018,u281znu,11.564376008000071,48.15811046100004,2018,7,13,3,0,5,3,1
221689_2019,u281znu,11.564372281000033,48.15810224000007,2019,11,9,6,1,5,3,1
172114_2017,u283dnj,11.697669844000075,48.10975305500007,2017,4,15,4,0,1,6,1
172116_2017,u281yfq,11.555686992000062,48.13252341300006,2017,4,15,4,1,5,3,1
177464_2017,u281yfq,11.555798908000044,48.13290568000008,2017,7,19,7,0,3,2,1
180306_2017,u281yfq,11.555654338000071,48.13250371200007,2017,8,8,2,0,5,3,1
186706_2017,u281yfq,11.555936368000062,48.13251979000007,2017,12,11,5,0,2,6,1
186242_2018,u281yfq,11.555800818000026,48.133400212000026,2018,9,8,4,0,4,2,1
187643_2018,u281yfq,11.555800610000064,48.13334625500005,2018,9,11,7,0,5,3,1
205701_2019,u281yfq,11.555639553000047,48.132494632000025,2019,3,16,5,0,5,3,1
207252_2019,u281yfq,11.555391805000054,48.132601521000026,2019,4,8,5,0,1,6,1
211308_2019,u281yfq,11.555801340000071,48.13353540600008,2019,6,11,3,0,5,6,1
217807_2019,u281yfq,11.555800611000054,48.133346706000054,2019,9,9,4,0,5,2,1
172117_2017,u281zpj,11.565001882000045,48.15964849400007,2017,4,18,4,0,5,3,1
185827_2017,u281zpj,11.565433603000033,48.159519068000066,2017,11,11,7,1,6,4,1
181565_2018,u281zpj,11.564655088000052,48.15962374300005,2018,7,18,1,0,0,7,1
213292_2019,u281zpj,11.564652715000026,48.15962402300005,2019,7,14,6,0,3,6,1
172118_2017,u281zgf,11.593716525000048,48.141998542000074,2017,4,15,4,1,2,6,1
174008_2017,u281zgf,11.594401342000024,48.141646226000034,2017,5,8,6,0,3,6,1
174766_2017,u281zgf,11.593431685000038,48.14207313000002,2017,5,11,2,0,2,6,1
177701_2017,u281zgf,11.59403423200007,48.14080467400004,2017,7,8,4,0,3,6,1
171438_2018,u281zgf,11.59340995200006,48.14202693100003,2018,1,8,3,0,5,3,1
172067_2018,u281zgf,11.593431685000038,48.14207313000002,2018,1,18,3,0,5,3,1
178431_2018,u281zgf,11.594457528000019,48.141783185000065,2018,5,17,3,0,6,4,1
179688_2018,u281zgf,11.593983493000051,48.141945570000075,2018,6,17,6,0,6,4,1
181394_2018,u281zgf,11.594520667000037,48.14193355700007,2018,7,13,4,0,5,2,1
185315_2018,u281zgf,11.593431685000038,48.14207313000002,2018,8,14,6,0,6,4,1
185899_2018,u281zgf,11.59460800100004,48.14182119100008,2018,9,11,2,0,5,2,1
206713_2019,u281zgf,11.594523624000034,48.14194048400003,2019,4,18,3,0,3,2,1
206906_2019,u281zgf,11.593995825000036,48.14194312400008,2019,4,9,6,0,0,7,1
207893_2019,u281zgf,11.594640542000036,48.14181741200007,2019,5,17,3,0,3,6,1
216080_2019,u281zgf,11.594438894000065,48.14173776200005,2019,8,21,3,0,0,6,1
217684_2019,u281zgf,11.594050911000068,48.141932194000034,2019,9,7,5,0,3,6,1
217745_2019,u281zgf,11.594493654000075,48.141870274000034,2019,9,18,5,0,2,6,1
172119_2017,u281z61,11.570736881000073,48.13190043000003,2017,4,13,4,0,2,6,1
174677_2017,u281z61,11.57094495900003,48.13187419200006,2017,5,19,3,0,0,7,1
175432_2017,u281z61,11.571042240000056,48.132008960000064,2017,6,12,1,0,0,1,1
180224_2017,u281z61,11.571302304000028,48.131234810000066,2017,8,14,3,0,0,1,1
182461_2017,u281z61,11.57025509600004,48.13183984900007,2017,9,9,4,0,0,7,1
186764_2017,u281z61,11.571160698000028,48.13168666800004,2017,12,16,4,0,0,7,1
